App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
I,Acinonyx jubatus,specimens,,KE,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,30,15,16,,,,,5,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,NA,,,,,,,,,,,,10,,,,,,160,310,565,100,400,100,470,111,173,400,3233,4226,3880,700,3383,2057,3311,1558,1071,182,8425,588,4242,3502,1400,,142,3330,,,,,
I,Acinonyx jubatus,specimens,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,,1,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,SU,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,TZ,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,5,13,,,,5,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,US,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,12,,5,19,12,48,49,,,,241,,,,
I,Acinonyx jubatus,specimens,,YE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,ZA,,,,,,,30,1,278,,,,,9,,,,,,,,,,,,100,100,3,,,3,1,56,3,,4,,49,,3,,,6,,14,,,,,
I,Acinonyx jubatus,specimens,,ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,13,13,,,,,
I,Acinonyx jubatus,specimens,,ZW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,Number of specimens,CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
I,Acinonyx jubatus,trophies,Number of specimens,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
I,Acinonyx jubatus,trophies,Number of specimens,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,44,39,76,68,
I,Acinonyx jubatus,trophies,Number of specimens,ZW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
I,Acinonyx jubatus,trophies,,AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,CA,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,CH,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,,,1,,,,1,,,,,,,
I,Acinonyx jubatus,trophies,,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
I,Acinonyx jubatus,trophies,,EG,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,
I,Acinonyx jubatus,trophies,,FR,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,1,,,,,,
I,Acinonyx jubatus,trophies,,GB,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
I,Acinonyx jubatus,trophies,,KE,,1,1,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,
I,Acinonyx jubatus,trophies,,LY,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,MX,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,NA,,,,,1,,,,,1,2,,,5,2,8,20,37,25,24,38,41,32,53,75,59,103,107,96,94,108,111,96,192,190,66,53,108,81,99,99,103,90,102,101,32,17,19,17,
I,Acinonyx jubatus,trophies,,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
I,Acinonyx jubatus,trophies,,TZ,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,US,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
